Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Luxembourg","LUX","313970","339171","364150","381850","436300","441525","472637","479993","488650","497783","506953","518347","530946","543360","556074",".."
"Population, total","SP.POP.TOTL","Macao SAR, China","MAC","171456","250997","246236","359735","431907","438088","479728","493022","507274","521405","534626","546682","557763","568056","577914",".."
"Population, total","SP.POP.TOTL","Macedonia, FYR","MKD","1488664","1720798","1924194","1996227","2012051","2021585","2047330","2051427","2055266","2058920","2062443","2065888","2069270","2072543","2075625",".."
"Population, total","SP.POP.TOTL","Madagascar","MDG","5099371","6576301","8746516","11545782","15744811","16235767","18826129","19371031","19926798","20495706","21079532","21678867","22293720","22924557","23571713",".."
"Population, total","SP.POP.TOTL","Malawi","MWI","3618604","4603739","6163225","9408998","11193230","11491824","13112383","13498377","13904671","14329056","14769824","15226813","15700436","16190126","16695253",".."
"Population, total","SP.POP.TOTL","Malaysia","MYS","8160975","10908634","13833739","18211097","23420751","23920963","26263048","26730607","27197419","27661017","28119500","28572970","29021940","29465372","29901997",".."
"Population, total","SP.POP.TOTL","Maldives","MDV","89875","115703","158282","223179","280384","285298","310168","315515","321026","326713","332575","338618","344817","351111","357415",".."
"Population, total","SP.POP.TOTL","Mali","MLI","5263730","5949043","7090125","8482075","11046926","11376094","13309942","13759226","14223403","14694565","15167286","15639115","16112333","16592097","17086022",".."
"Population, total","SP.POP.TOTL","Malta","MLT","326550","302650","316645","354170","381363","393028","405308","406724","409379","412477","414508","416268","419455","423374","427404",".."
"Population, total","SP.POP.TOTL","Marshall Islands","MHL","14665","20397","30581","47300","52161","52184","52080","52136","52221","52321","52428","52541","52663","52786","52898",".."
"Population, total","SP.POP.TOTL","Mauritania","MRT","858170","1148908","1534085","2023665","2711421","2796502","3241762","3328285","3414552","3501927","3591400","3683221","3777067","3872684","3969625",".."
"Population, total","SP.POP.TOTL","Mauritius","MUS","659351","826000","966039","1058775","1186873","1196287","1233996","1239630","1244121","1247429","1250400","1252404","1255882","1258653","1260934",".."
"Population, total","SP.POP.TOTL","Mexico","MEX","38174114","52029859","69330974","85609404","102808590","104239563","111382857","113139374","114972821","116815612","118617542","120365271","122070963","123740109","125385833",".."
"Population, total","SP.POP.TOTL","Micronesia, Fed. Sts.","FSM","44539","61433","72967","96331","107430","107170","105680","105080","104472","103961","103619","103476","103516","103718","104044",".."
"Population, total","SP.POP.TOTL","Moldova","MDA","2544000","3044000","3396000","3696000","3639592","3631462","3585209","3576910","3570108","3565604","3562045","3559986","3559519","3558566","3556400",".."
"Population, total","SP.POP.TOTL","Monaco","MCO","22454","23484","26746","29438","32081","32364","34384","35046","35731","36351","36845","37189","37404","37528","37623",".."
"Population, total","SP.POP.TOTL","Mongolia","MNG","955514","1278825","1689622","2184145","2397438","2419729","2558484","2592776","2629666","2669572","2712657","2759074","2808339","2859174","2909871",".."
"Population, total","SP.POP.TOTL","Montenegro","MNE","474203","526123","573170","608320","604950","607389","615025","615875","616969","618294","619428","620079","620601","621207","621800",".."
"Population, total","SP.POP.TOTL","Morocco","MAR","12328534","16039600","20071902","24950128","28950553","29250983","30691434","31011322","31350544","31714958","32107739","32531964","32984190","33452686","33921203",".."
